Name,Overall,Value,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle
Chris Brunt,70,0.88,83,62,61,72,70,64,86,76,73,73,51,50,62,71,61,86,67,54,70,74,69,61,61,72,74,68,71,66,63
Omar Hawsawi,70,0.85,26,20,66,64,21,41,30,26,48,48,67,66,70,71,47,40,80,74,86,32,76,72,45,36,36,61,61,69,67
Andrés Cadavid,70,0.85,36,30,75,61,31,42,45,35,53,44,35,38,30,65,49,63,60,33,91,35,82,68,29,35,65,64,66,70,64
Pablo Alvarado,70,0.85,56,31,70,56,28,59,27,34,55,61,51,61,61,69,60,45,81,65,74,34,67,67,43,34,40,68,65,73,70
Román Torres,70,0.85,39,45,73,55,49,34,34,23,63,55,35,46,31,63,32,71,55,46,93,55,84,63,49,36,50,59,69,69,65
Reto Ziegler,70,0.85,73,55,66,71,55,66,74,72,72,71,57,60,51,62,60,75,64,69,73,71,70,69,66,70,68,70,70,72,70
Rúben Miguel Santos Fernandes,70,0.85,51,45,69,64,51,47,48,31,59,62,60,62,62,67,55,65,77,66,75,51,76,70,40,52,67,70,67,70,67
Alexis Ruano Delgado,70,0.85,57,22,71,66,40,47,49,43,60,60,49,52,61,60,58,67,77,67,76,24,80,67,53,48,30,66,68,71,67
Anderson Miguel da Silva,70,0.83,47,74,74,66,72,60,66,62,47,65,43,52,63,67,67,74,90,47,76,67,80,20,75,60,71,80,19,30,22
Stephen Ward,70,0.80,73,57,71,72,66,66,69,55,67,73,58,54,63,70,62,70,72,66,72,54,77,71,60,64,62,71,73,69,70
Sebastián Dubarbier,70,0.80,68,59,61,62,57,68,72,65,62,67,75,71,69,66,71,72,82,77,75,67,92,71,64,64,59,66,68,69,66
Francisco José Molinero Calderón,70,0.80,69,45,65,66,54,62,66,40,61,70,71,76,73,67,73,69,82,79,71,58,78,65,60,59,49,66,68,67,69
Matías Rodríguez,70,0.80,69,55,69,64,45,68,51,53,64,71,71,77,67,66,62,71,68,79,69,60,76,68,72,59,68,61,64,67,70
Javier Moyano Lujano,70,0.80,58,33,60,65,45,58,62,53,49,60,71,70,72,70,67,63,73,76,74,51,65,74,56,52,46,59,73,69,70
Antonio Balzano,70,0.80,65,30,55,64,40,59,59,24,58,60,72,71,75,66,83,63,68,80,77,48,76,67,58,31,36,71,68,73,74
Carlos Arboleda,70,0.80,73,47,40,66,46,69,57,44,62,66,85,90,87,71,89,58,90,77,30,52,65,68,57,57,41,66,70,66,61
Iván Pillud,70,0.80,65,34,65,65,53,61,69,64,63,64,70,73,62,70,61,71,76,70,82,55,74,67,55,57,69,67,71,73,72
Renaldo Lorenzo Justinho Neves,70,0.78,66,62,67,71,71,72,64,61,58,67,72,74,81,68,64,56,48,51,52,54,48,40,70,73,64,67,28,51,40
José Vítor Moreira Semedo,70,0.68,37,35,65,67,57,52,41,37,61,63,48,47,56,68,65,70,78,81,76,30,88,68,21,49,36,64,70,72,65
Mauro Bogado,70,0.68,63,58,43,67,53,63,70,72,77,74,61,67,76,78,71,80,47,80,64,79,65,59,61,70,68,58,69,68,65
Gabriel Peñalba,70,0.68,67,64,66,70,61,66,67,64,71,70,50,51,52,67,52,66,50,61,87,68,74,69,66,74,74,71,64,70,59
David Fernández Cortázar,70,0.65,50,34,71,67,41,55,56,38,66,64,56,51,60,63,57,72,72,82,68,42,60,73,45,58,36,69,68,72,70
Christophe Berra,70,0.65,24,32,84,32,30,44,27,28,49,40,30,37,35,64,35,50,78,67,87,26,65,71,39,41,33,56,69,73,69
Claiton Machado dos Santos,70,0.65,18,14,68,52,26,45,12,25,47,55,42,47,55,69,51,40,81,45,86,29,67,74,21,28,18,70,65,70,68
Martín Mantovani,70,0.65,47,37,73,64,55,55,63,45,61,60,35,31,50,68,61,59,67,52,76,34,75,73,46,33,42,64,72,70,62
Ashley Williams,70,0.65,32,37,66,62,34,57,34,23,70,60,42,45,51,66,59,64,60,54,80,40,78,74,28,53,45,66,71,66,70
Diego Peralta,70,0.65,39,44,72,62,63,60,44,52,50,63,33,33,36,67,48,70,61,59,91,45,76,65,45,43,59,69,70,70,62
Tim Hoogland,70,0.65,66,57,70,64,61,61,60,52,62,64,46,46,53,67,63,69,80,58,75,62,70,69,64,45,61,70,67,70,67
Laureano Sanabria Ruiz,70,0.63,70,44,57,69,54,63,61,39,63,69,71,70,69,70,89,68,67,73,59,26,68,71,44,56,48,62,61,68,69
Emanuele Calaiò,70,0.63,50,74,73,63,73,70,63,64,45,69,57,60,76,65,84,71,84,65,72,57,68,15,72,53,79,67,49,14,15
Umut Bulut,70,0.63,58,72,75,57,65,64,51,49,51,63,43,63,35,70,42,77,63,67,73,70,64,38,77,59,68,68,39,35,34
Wes Hoolahan,70,0.60,72,63,43,74,62,70,73,67,71,76,54,50,64,64,88,70,33,41,53,66,39,35,62,76,77,73,42,51,36
Ki Hun Yeom,70,0.60,75,68,68,72,69,70,77,78,71,70,67,59,69,71,73,74,67,67,76,71,57,63,73,76,72,73,46,23,22
Marlon Rômulo Dias Cavalcanti,70,0.58,49,36,77,76,43,45,31,54,70,75,53,58,45,78,40,58,45,53,86,44,62,68,69,64,45,73,70,62,51
Breno Evandro Bemposta Dimas,70,0.58,56,41,66,69,46,67,74,75,65,74,49,50,62,71,50,72,55,77,74,76,51,66,61,67,74,69,74,77,60
Jaime Valdés,70,0.58,73,65,45,75,67,74,72,74,76,76,57,60,71,65,64,74,29,34,61,70,68,53,70,78,75,69,47,52,34
Mariano Julio Izco,70,0.58,70,51,60,73,60,70,68,50,71,72,65,66,67,74,68,79,53,48,67,67,72,73,61,74,58,75,65,68,68
Aldo Ramírez,70,0.58,62,66,55,72,60,68,68,70,73,72,62,64,74,70,72,69,62,56,78,65,50,65,65,70,69,78,62,64,61
Adriano Sartorio Mezavilla,70,0.58,57,51,66,72,53,65,53,57,70,71,67,68,65,69,62,73,76,78,76,61,72,59,63,69,61,71,50,67,61
José María Basanta,70,0.55,51,41,75,62,45,55,55,40,61,60,40,53,33,76,34,67,65,52,65,52,74,70,49,39,47,71,69,68,67
Christian Vilches,70,0.55,22,37,72,64,30,54,31,22,61,53,45,32,61,58,61,52,82,65,83,41,68,68,27,52,32,54,71,69,69
Gabriel Tamaș,70,0.55,61,51,71,66,46,55,65,72,63,56,56,53,54,70,54,77,69,54,72,68,80,64,54,53,58,59,64,75,72
Michael Dawson,70,0.55,19,25,73,57,23,17,23,11,66,59,30,30,44,67,50,62,66,31,76,21,73,66,35,43,44,70,75,70,71
Juan Francisco Martínez Modesto,70,0.53,59,77,53,68,59,66,65,68,49,69,63,54,73,81,80,63,73,37,61,69,60,49,82,65,75,81,48,42,37
Davide Moscardelli,70,0.53,65,68,70,68,74,80,74,70,55,80,33,50,56,68,58,82,66,33,82,71,55,21,68,67,72,72,24,49,40
Edson Gérson Torres Guerra,70,0.50,73,48,70,62,43,48,44,63,60,75,62,76,63,65,72,62,62,79,65,59,75,57,55,48,70,62,68,68,77
Simone Padoin,70,0.50,73,51,68,75,63,74,73,68,72,75,65,61,68,68,79,74,68,56,61,73,70,70,72,72,70,73,70,74,71
Pedro López Muñoz,70,0.50,76,53,53,71,51,68,69,56,64,71,65,67,69,69,72,72,65,60,64,66,77,73,59,59,58,67,76,73,66
Dagoberto Josué Pinho Parrela,70,0.50,72,41,62,73,44,55,45,46,71,61,77,78,61,64,57,43,62,78,79,42,67,63,56,62,61,61,72,68,67
Zhi Zheng,70,0.38,61,60,66,70,64,70,64,65,66,77,64,35,69,68,67,68,55,33,66,66,83,73,63,71,68,75,72,69,67
Kyle Beckerman,70,0.38,45,52,59,71,59,61,62,58,68,70,34,34,59,65,67,75,62,67,69,64,75,68,57,61,69,70,70,69,64
Alexis Henríquez,70,0.35,17,30,75,58,23,34,27,36,68,43,29,30,31,71,30,57,32,30,91,32,78,69,23,39,49,67,73,70,64
Yalçın Ayhan,70,0.35,31,32,74,60,23,46,32,38,64,60,29,30,28,68,28,42,29,50,74,25,86,72,21,31,36,68,74,72,62
Daniele Gastaldello,70,0.35,34,35,72,61,33,52,37,23,62,60,36,34,34,62,58,54,78,33,75,39,72,72,30,49,41,72,68,71,67
Hugo Campagnaro,70,0.24,58,28,65,56,29,45,37,35,56,53,34,37,52,64,71,68,80,34,86,36,66,69,38,44,38,73,74,70,68
Domingos Quina,69,2.30,54,60,34,69,54,71,63,50,61,72,75,70,77,63,83,68,50,63,42,69,53,46,63,64,48,62,41,47,44
Paxton Pomykal,69,2.30,62,55,42,71,56,67,63,65,72,65,77,72,81,65,82,59,67,79,56,60,58,33,66,70,60,69,67,58,53
Bastien Toma,69,2.30,55,62,54,70,55,64,56,62,68,69,66,63,80,67,83,61,64,72,69,71,65,66,65,71,54,64,64,64,64
Kamil Jóźwiak,69,2.30,65,63,41,66,49,65,49,34,60,68,87,92,78,60,79,61,53,72,72,41,62,31,63,63,52,61,47,44,35
Ignacio Aliseda,69,2.30,61,59,47,67,55,75,49,43,57,71,88,84,85,63,85,65,67,69,49,51,49,29,64,67,51,71,39,41,45
Håkon Evjen,69,2.30,59,62,39,65,57,71,68,54,53,69,84,79,89,67,72,61,55,85,45,66,54,37,67,63,50,67,55,60,46
Maximiliano Romero,69,2.30,45,72,66,55,73,63,44,42,43,68,75,77,68,62,66,76,83,70,73,65,53,23,65,52,59,66,25,21,19
Eddie Nketiah,69,2.30,43,72,53,61,63,72,49,38,46,69,87,82,80,70,72,64,73,70,59,62,52,19,73,53,57,65,22,19,15
Ricardo Márquez,69,2.30,51,72,75,64,59,63,38,25,48,68,70,69,63,56,59,67,70,51,69,59,50,21,70,52,72,54,30,15,11
Musa Barrow,69,2.30,40,71,63,56,60,69,50,36,40,69,79,83,73,66,54,64,54,52,69,61,40,20,72,50,58,60,45,20,16
Timothy Weah,69,2.30,55,70,67,61,62,70,63,41,55,66,87,87,86,59,69,70,67,61,62,66,48,22,65,64,60,66,30,26,24
Stiven Plaza,69,2.30,55,67,66,57,60,64,60,29,49,65,83,87,74,66,67,72,71,67,81,56,60,17,66,50,63,65,26,18,25
Nicolas Cozza,69,2.20,66,30,61,67,29,64,60,36,64,65,78,75,50,62,75,45,75,75,69,35,71,69,49,52,50,63,71,70,68
Javier Hernández Carrera,69,2.20,67,31,67,68,36,65,64,35,59,66,70,69,69,65,65,65,69,70,68,63,59,70,61,54,42,67,68,70,69
David Turnbull,69,2.20,49,63,50,71,54,68,64,62,71,70,66,70,72,62,72,60,63,75,66,69,40,52,65,69,74,71,52,54,54
Oihan Sancet Tirapu,69,2.20,60,65,38,71,54,74,63,41,64,76,70,67,78,66,56,61,52,58,46,67,38,62,66,71,66,67,45,57,46
Maxence Caqueret,69,2.20,52,52,42,74,49,66,62,52,74,69,68,67,84,64,85,63,51,66,56,56,77,60,57,72,53,69,64,59,56
Lewis Ferguson,69,2.20,61,63,68,73,65,68,63,63,69,68,72,71,79,61,76,64,70,75,74,64,70,55,63,70,44,69,53,63,57
Luca Pellegrini,69,2.10,74,30,57,67,33,66,52,39,40,70,78,75,62,64,69,36,59,69,50,35,56,60,66,44,49,60,64,70,69
Domagoj Bradarić,69,2.10,72,44,56,66,39,71,60,38,58,72,78,77,73,67,70,51,57,68,57,46,68,64,64,61,43,66,62,66,66
James Justin,69,2.10,70,50,63,68,36,69,60,60,62,68,74,77,71,62,70,48,59,79,65,40,52,65,63,63,43,64,65,68,65
Ridle Baku,69,2.00,58,61,51,76,51,73,52,45,67,71,77,76,80,69,87,61,76,68,57,54,72,69,64,65,51,61,66,58,57
Jayden Bogle,69,2.00,70,41,51,68,31,73,52,35,60,70,84,78,76,64,72,59,66,68,63,45,71,65,70,62,34,67,65,72,66
Dejan Joveljić,69,2.00,57,73,58,64,65,69,60,39,38,72,75,72,75,71,72,63,67,62,63,59,54,28,73,41,73,64,22,31,29
Daniel Gómez Alcón,69,2.00,45,72,58,62,54,69,56,45,57,70,80,73,72,61,65,64,64,63,71,61,38,31,71,59,61,70,48,32,35
Ibrahima Niane,69,2.00,46,69,63,56,49,73,49,51,44,67,86,80,75,62,45,76,68,59,69,67,36,11,67,49,71,59,11,14,16
Sarpreet Singh,69,1.90,71,58,44,69,56,69,71,68,68,70,73,69,76,66,82,60,63,66,50,68,68,55,58,72,57,71,52,45,41
Vlad Mihai Dragomir,69,1.90,63,65,59,71,64,73,67,67,64,72,74,75,74,68,73,67,73,73,56,62,50,56,69,71,62,61,56,54,55
Gastón Lódico,69,1.90,65,56,47,73,56,75,71,66,73,73,77,75,83,63,87,65,59,69,49,57,59,56,63,69,52,72,53,49,47
Ignacio Méndez Fernández,69,1.90,68,57,44,71,54,68,66,70,68,70,68,66,73,67,74,62,54,75,64,56,65,56,67,71,56,69,52,55,52
Agustín Almendra,69,1.90,47,58,45,75,50,67,66,58,73,72,64,65,69,62,68,59,46,67,64,56,48,56,59,67,52,62,56,68,64
Jay Dasilva,69,1.90,66,35,46,67,34,71,58,52,43,69,89,78,81,62,84,46,71,68,54,38,62,65,58,54,43,60,60,72,68
Yan Valery,69,1.90,64,42,56,61,34,66,43,41,55,65,73,70,61,67,67,58,52,74,69,53,77,66,57,53,41,61,70,74,66
Trevoh Chalobah,69,1.80,48,36,64,66,34,68,48,43,62,65,64,69,54,66,59,50,61,70,73,31,72,72,47,59,42,58,67,70,67
Callum Connolly,69,1.80,65,60,70,69,32,66,59,49,68,69,61,60,68,63,72,69,68,68,56,63,77,67,62,61,50,65,69,69,68
Mikkel Damsgaard,69,1.80,62,62,51,73,48,74,65,42,69,72,82,79,75,64,83,60,67,72,58,56,62,43,68,73,47,68,47,44,38
Matt Smith,69,1.80,62,55,38,71,38,71,51,42,67,72,72,75,70,67,69,54,68,82,69,49,72,63,64,65,45,67,59,61,59
Youssouf Fofana,69,1.80,50,54,58,71,40,69,49,42,66,69,76,75,74,68,73,72,57,70,73,68,65,69,62,66,64,69,63,68,65
Francesco Cassata,69,1.80,62,36,29,74,38,70,52,58,70,75,67,63,66,72,59,55,36,68,48,71,79,47,57,69,40,57,62,59,50
Josh Onomah,69,1.80,53,59,45,74,52,72,54,49,68,73,73,72,72,65,71,62,57,68,69,59,45,46,66,67,42,62,60,64,44
Michel Aebischer,69,1.80,66,65,57,70,46,68,64,63,66,70,71,67,73,66,68,65,65,76,64,61,60,60,63,70,50,62,61,62,59
Yangel Herrera,69,1.80,44,56,63,73,39,64,56,51,67,67,56,63,60,66,68,68,76,68,71,62,69,67,68,67,59,53,64,71,65
Sofian Kiyine,69,1.80,62,52,62,70,48,78,60,49,67,76,69,75,75,65,69,63,56,71,56,65,54,65,62,64,52,60,60,67,66
Zaydou Youssouf,69,1.80,62,53,47,73,55,73,66,65,69,74,71,71,72,64,72,72,62,68,69,51,72,56,68,69,55,65,53,58,55
Florent Muslija,69,1.80,63,54,38,64,54,77,70,71,57,73,80,76,90,63,92,55,67,84,36,59,36,32,54,63,41,57,27,28,33
Pedro Miguel Lopes Pereira,69,1.80,72,35,58,70,37,72,50,35,64,72,74,71,76,70,74,44,72,69,57,34,60,67,68,63,48,71,69,72,69
Luis Sinisterra,69,1.80,60,60,63,66,58,73,58,37,58,68,85,80,90,64,76,64,88,76,46,58,58,16,68,66,55,66,52,32,35
Lincoln Oliveira dos Santos,69,1.70,58,52,50,65,66,73,72,60,67,72,82,80,85,68,74,63,61,64,50,58,51,25,64,67,70,72,23,32,33
Amine Bassi,69,1.70,63,62,59,70,57,72,68,66,65,68,72,67,75,58,78,63,57,67,56,70,59,49,63,70,58,65,39,49,51
Konstantin Kuchaev,69,1.70,67,62,52,70,49,70,58,52,64,71,83,73,70,68,64,66,57,68,52,44,71,44,65,67,51,65,60,59,53
Cameron Carter-Vickers,69,1.70,40,17,67,73,26,44,27,30,70,57,61,64,53,65,60,36,72,55,79,16,62,66,27,41,38,60,67,71,67
Justin Hoogma,69,1.70,28,23,58,69,30,45,37,33,71,70,62,65,63,68,60,47,54,67,76,24,68,71,32,34,35,63,67,72,69
Javier Sánchez de Felipe,69,1.70,32,28,66,63,18,34,27,34,49,61,51,64,36,66,48,38,72,67,78,32,70,67,25,35,67,55,68,70,67
Christopher Martins,69,1.70,52,52,65,73,47,61,47,39,68,67,52,53,56,61,67,65,59,85,72,45,67,65,57,58,45,60,69,67,65
Andy Rinomhota,69,1.70,57,51,65,70,48,73,57,35,59,71,79,80,78,69,73,52,66,81,72,52,65,67,54,59,45,68,69,71,68
Ander Guevara Lajo,69,1.70,60,68,46,73,37,69,61,59,71,72,57,46,67,60,66,47,61,58,51,67,53,53,62,70,51,68,54,70,52
Emanuele Ndoj,69,1.70,60,53,61,72,51,70,62,61,68,71,79,74,65,70,64,63,64,73,66,65,64,64,52,68,58,68,64,67,66
Allan Campbell,69,1.70,47,49,58,71,48,62,55,47,63,69,70,71,67,73,77,58,62,90,69,55,75,73,55,64,53,69,72,73,70
Gonzalo Villar del Fraile,69,1.70,56,54,45,75,49,66,64,61,69,74,67,71,70,64,71,63,58,79,62,58,61,56,56,71,53,64,58,50,52
Matías Melluso,69,1.70,69,41,61,66,38,68,49,33,65,67,76,70,75,69,69,47,64,69,56,45,61,61,59,51,44,62,64,70,70
Alejandro Pozo Pozo,69,1.70,67,68,60,67,64,74,59,52,62,71,79,74,88,66,78,68,62,56,37,73,31,17,60,59,58,55,23,26,20
Chidera Ejuke,69,1.70,61,63,41,58,48,74,61,36,47,69,93,83,92,59,88,65,51,75,59,59,40,31,64,60,49,63,40,37,31
Tomás Chancalay,69,1.70,62,65,54,64,60,75,67,50,62,71,78,81,83,62,69,62,61,69,60,60,52,43,65,63,58,69,33,33,32
Silvan Hefti,69,1.70,55,34,66,57,29,49,42,41,58,64,73,72,66,70,60,58,81,80,74,42,73,67,38,53,47,65,69,70,69
Hicham Boussefiane,69,1.70,67,61,42,59,54,75,66,48,42,71,87,86,81,61,74,62,47,64,41,55,35,30,65,63,59,54,30,32,30
Yerko Leiva,69,1.70,66,65,45,64,48,70,49,52,63,67,79,77,75,62,86,68,67,74,58,56,47,59,64,66,53,62,37,53,51
Orji Okwonkwo,69,1.70,61,66,53,67,65,70,66,58,49,66,88,91,78,61,64,74,53,68,73,66,66,30,64,59,60,60,53,56,23
Janni Serra,69,1.70,41,69,74,57,68,57,43,28,28,65,53,60,48,62,34,76,64,62,85,62,65,23,71,49,61,49,35,38,33
Irvin Cardona,69,1.70,56,69,63,70,66,72,61,58,58,70,68,73,68,63,57,70,69,75,66,68,31,20,65,68,70,57,21,17,20
Jonas Wind,69,1.70,35,68,65,67,61,67,54,41,45,67,66,67,59,68,64,67,69,68,81,58,65,19,69,60,62,64,32,27,19
Dante Vanzeir,69,1.70,68,70,58,68,72,72,66,59,66,71,79,78,79,61,75,71,79,66,59,66,61,19,66,63,70,71,34,24,31
Alexis Vega,69,1.70,59,74,58,57,60,73,44,35,51,68,75,76,72,68,73,66,65,75,72,58,52,16,69,60,66,66,49,19,18
Cheick Timite,69,1.70,59,69,61,59,54,73,48,40,54,70,78,73,66,63,60,78,67,65,67,43,50,30,68,52,56,57,30,33,38
Dimitri Oberlin,69,1.70,55,69,61,66,65,75,57,45,62,70,88,92,84,56,67,67,68,70,68,60,49,23,64,59,52,67,43,45,50
Mauro Jaqueson J. Ferreira Santos,69,1.60,62,58,45,64,62,75,73,74,52,74,83,77,86,62,73,69,50,65,31,67,34,43,57,72,68,66,48,45,38
Kik Pierie,69,1.60,66,44,65,71,42,64,66,34,71,67,72,66,69,70,55,55,74,67,68,39,64,70,52,67,42,64,68,70,66
Ibrahima Camará,69,1.60,34,38,62,68,31,61,48,36,67,66,61,62,51,62,62,64,70,61,75,48,73,73,32,48,48,58,61,74,71
Nicolás Linares,69,1.60,56,54,54,71,54,67,53,56,65,68,68,64,62,66,75,65,60,74,65,52,62,68,54,65,58,62,71,68,66
Ifeanyi Mathew,69,1.60,60,58,48,68,55,70,54,49,66,66,78,81,79,69,78,70,82,93,65,67,68,67,60,67,46,67,65,64,62
Federico Varela,69,1.60,59,52,48,72,63,72,72,54,68,74,70,70,69,68,77,74,57,70,52,65,58,47,68,69,57,66,40,59,53
Joe Aribo,69,1.60,54,58,51,74,40,70,63,59,70,70,79,85,81,62,66,57,58,75,67,46,54,55,66,70,45,64,64,63,58
Jakub Piotrowski,69,1.60,63,60,63,69,39,70,54,63,67,71,67,66,66,63,58,72,66,75,72,67,68,66,60,67,51,65,63,68,61
Álvaro Aguado Méndez,69,1.60,55,61,53,74,68,68,65,49,70,72,61,56,75,65,78,58,58,64,35,65,44,55,59,73,52,63,42,62,55
Jessy Deminguet,69,1.60,65,43,63,74,58,68,65,72,67,72,69,70,72,65,72,66,51,72,57,57,68,62,65,70,57,60,56,63,60
Lazare Amani,69,1.60,58,56,41,70,49,73,36,42,66,73,78,79,83,66,80,73,82,76,61,68,70,55,64,67,40,71,43,58,53
Borna Sosa,69,1.60,74,29,65,73,30,71,57,29,63,71,77,75,73,70,66,41,64,67,69,26,59,63,41,58,31,54,64,66,65
Silas Gnaka,69,1.60,67,12,56,64,31,68,27,26,68,68,71,79,79,61,70,60,71,76,66,21,65,64,58,66,36,66,67,69,67
Lazaros Lamprou,69,1.60,57,70,61,65,62,67,61,49,50,72,83,84,78,66,60,67,58,73,64,68,65,28,68,59,62,64,32,26,23
Uriel Antuna,69,1.60,63,61,46,64,48,71,54,48,55,68,89,86,90,59,74,60,55,74,35,45,45,35,64,59,45,60,24,31,32
Nikolay Rasskazov,69,1.60,65,42,60,72,34,73,40,34,66,70,74,75,69,64,66,52,64,62,52,49,52,64,50,50,44,55,67,74,71
Eric Ocansey,69,1.60,57,60,49,63,65,74,67,42,58,69,89,84,91,66,81,77,90,69,52,71,52,27,66,60,44,70,21,22,26
Ivan Toney,69,1.60,42,71,66,61,59,68,41,38,53,65,75,74,84,64,69,66,89,71,75,54,75,49,68,55,63,67,20,46,41
Antonio Martínez López,69,1.60,42,69,69,60,63,61,47,31,43,66,58,67,58,67,54,76,71,59,76,62,60,23,68,56,64,64,20,14,23
Adam Bareiro,69,1.60,34,72,68,55,53,68,45,38,48,70,68,70,59,62,62,61,66,59,78,65,32,13,71,54,69,67,21,16,15
Emmanuel Apeh,69,1.60,48,66,68,66,67,68,54,36,38,64,70,74,69,67,64,70,53,66,71,64,35,17,68,55,62,52,30,16,15
Dylan Vente,69,1.60,40,71,70,68,56,63,44,39,42,71,79,76,77,66,64,61,85,65,64,55,32,30,73,62,64,67,25,18,17
Vakoun Issouf Bayo,69,1.60,42,69,70,57,70,63,61,44,49,68,76,84,56,56,53,69,87,71,84,55,76,21,70,45,66,63,19,19,25
Blessing Eleke,69,1.60,47,71,70,52,66,59,53,35,49,71,63,68,63,59,75,68,75,71,83,66,70,44,70,58,74,72,38,42,40
Eamonn Brophy,69,1.60,56,70,62,68,60,66,72,70,48,68,79,75,80,59,74,75,85,78,74,68,64,38,65,68,72,61,23,27,23
Giorgi Kharaishvili,69,1.50,58,67,38,67,53,68,60,65,63,70,78,73,72,55,65,71,61,71,61,72,50,22,70,67,60,58,38,42,40
Niklas Hauptmann,69,1.50,62,49,33,73,47,72,69,53,64,72,76,67,89,63,85,59,71,63,38,59,55,41,58,67,44,58,65,49,44
Barış Atik,69,1.50,58,62,33,70,55,72,57,60,56,71,77,69,92,61,90,62,81,71,43,53,41,28,66,68,57,61,52,24,27
Seung Woo Lee,69,1.50,62,65,62,69,62,72,55,27,54,75,79,75,67,68,82,69,70,55,51,64,34,16,67,59,62,50,41,12,14
Hamza Sakhi,69,1.50,62,67,35,69,57,69,67,68,65,70,71,71,73,66,69,61,57,66,45,60,46,59,68,66,66,68,56,58,57
Jason Kerr,69,1.50,38,32,69,62,36,54,41,42,65,61,68,69,60,58,64,58,87,64,77,37,78,61,52,48,43,65,67,70,67
Joe Rodon,69,1.50,34,23,60,67,34,51,25,32,55,60,51,57,47,68,57,43,68,62,75,24,62,72,23,31,40,50,67,69,69
Agustín Rogel,69,1.50,30,21,74,64,30,58,31,30,49,63,52,53,40,51,46,47,75,65,82,28,83,64,23,38,40,52,66,64,65
Nicolai Rapp,69,1.50,36,33,59,67,39,48,38,33,59,59,54,65,54,68,58,43,77,63,71,26,68,71,37,46,35,52,68,70,68
Stefano Callegari,69,1.50,41,29,69,61,37,36,35,33,52,61,49,53,49,57,44,46,72,63,79,25,60,66,35,48,45,59,69,74,70
Eddie Segura,69,1.50,23,31,63,63,25,41,23,30,56,56,58,66,61,64,60,36,78,71,76,22,69,67,26,32,30,63,71,72,66
Andrew Gravillon,69,1.50,35,25,61,50,33,41,31,30,47,50,60,66,47,65,49,48,77,55,84,25,70,68,24,36,42,65,68,70,69
Dženis Burnić,69,1.50,58,45,49,74,47,68,46,39,68,73,69,68,75,68,74,58,70,72,63,40,63,63,53,68,55,58,65,66,63
Manconi Soriano Mané,69,1.50,49,39,67,68,37,52,42,48,61,63,55,62,66,67,53,71,62,81,78,36,79,72,38,40,49,55,67,71,67
Javier Muñoz Jiménez,69,1.50,61,58,46,70,43,69,72,50,71,70,68,72,63,63,71,66,55,69,62,70,55,59,64,68,48,58,60,62,60
Recep Niyaz,69,1.50,69,59,45,72,66,71,64,62,68,70,77,73,85,64,78,53,41,66,48,55,53,56,73,71,60,66,64,67,64
Junior Sambia,69,1.50,76,64,59,69,59,73,73,75,68,68,75,79,78,65,70,78,79,74,66,71,60,61,59,68,61,68,63,65,65
Luca Palmiero,69,1.50,66,62,56,74,64,70,67,69,69,73,63,63,66,62,56,69,66,69,56,62,64,61,65,68,64,68,66,59,56
Andrés Iniestra,69,1.50,62,47,55,72,32,63,39,45,67,70,52,57,61,72,66,65,62,72,71,60,62,71,55,70,48,54,65,69,64
Wilfrid Kaptoum,69,1.50,56,60,45,73,40,70,57,39,71,74,62,60,78,65,81,70,66,61,60,65,57,59,59,68,50,73,62,64,62
Keidi Bare,69,1.50,58,59,57,73,42,68,53,43,71,71,70,67,70,67,75,55,58,69,68,58,66,64,61,64,45,63,67,62,62
Jaime Carreño,69,1.50,65,62,41,71,41,67,53,61,68,68,74,73,78,68,78,58,48,87,70,67,58,55,65,63,62,58,62,70,65
Gonçalo Rosa Pereira Rodrigues,69,1.50,48,47,57,71,38,67,67,65,67,70,69,65,76,75,84,73,75,81,45,69,66,61,60,63,64,69,60,66,65
Gabriel Suazo,69,1.50,65,64,58,67,38,70,35,55,66,72,70,70,78,70,78,64,69,82,73,65,63,61,66,62,53,65,65,67,63
Diego Palacios,69,1.50,75,25,44,67,25,68,36,27,59,67,78,77,68,63,86,48,58,74,58,30,69,65,55,56,37,62,67,70,67
Gabriel Fuentes,69,1.50,60,39,55,67,37,65,43,25,53,67,77,79,73,66,68,38,66,75,67,41,69,68,60,48,36,60,67,67,67
Gerardo Arteaga,69,1.50,68,43,64,66,37,66,63,38,65,62,84,80,80,63,78,58,67,82,57,46,58,64,64,58,46,60,64,67,66
Carlos Eugenio Tavares dos Santos,69,1.50,66,45,54,67,45,69,70,36,52,73,78,73,83,70,74,71,75,76,56,56,70,66,56,41,48,70,67,68,64
Hamza Mendyl,69,1.50,60,36,58,64,33,70,57,38,53,70,88,89,74,64,67,53,60,65,66,44,81,71,62,56,48,64,60,65,66
Aldo Cruz,69,1.50,66,34,65,68,35,64,63,60,65,67,74,73,73,62,68,36,77,76,70,29,61,64,50,59,42,62,68,69,68
Jan Repas,69,1.50,66,60,52,73,57,73,60,60,66,73,79,75,73,61,78,65,55,55,57,59,39,35,63,60,62,55,44,40,39
